three_letter_code,spv,project,wf_name_in_rotorsoft,wtg_serial_number,num_wtg,cod,wtg_type,wtg_version,manufacturer,hub_height_[m],rotor_diameter_[m],tip_height_m_,rated_power_[mw]
BOG,Energies Bocage,Bocage,Énergies Bocage (FRA),38712,,,V90,,Vestas,80.0,90,125.0,2.0
BOG,Energies Bocage,Bocage,Énergies Bocage (FRA),38713,,,V90,,Vestas,80.0,90,125.0,2.0
BOG,Energies Bocage,Bocage,Énergies Bocage (FRA),38711,,,V90,,Vestas,80.0,90,125.0,2.0
BOG,Energies Bocage,Bocage,Énergies Bocage (FRA),38714,,,V90,,Vestas,80.0,90,125.0,2.0
BRS,Bouresse Energies,Bouresse ,Bouresse Energies (FRA),215372,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,Bouresse Energies,Bouresse ,Bouresse Energies (FRA),215373,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,Bouresse Energies,Bouresse ,Bouresse Energies (FRA),215374,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,Bouresse Energies,Bouresse ,Bouresse Energies (FRA),215375,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,Bouresse Energies,Bouresse ,Bouresse Energies (FRA),215376,,,V100,,Vestas,100.0,100,150.0,2.0
CEN,Chauve Energies,Chauvé ,Chauvé Energies (FRA),82496,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,Chauve Energies,Chauvé ,Chauvé Energies (FRA),82541,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,Chauve Energies,Chauvé ,Chauvé Energies (FRA),82542,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,Chauve Energies,Chauvé ,Chauvé Energies (FRA),82498,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,Chauve Energies,Chauvé ,Chauvé Energies (FRA),82543,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,Chauve Energies,Chauvé ,Chauvé Energies (FRA),82497,,,MM82,,Senvion,80.0,82,121.0,2.0
E02,Energie 02,Dizy/ Obi,Énergie 02 (FRA),921525,WTG 19,2019-02-27,E92,,Enercon,85.0,92,131.0,2.35
E02,Energie 02,Dizy/ Obi,Énergie 02 (FRA),921524,WTG 20,2018-12-28,E92,,Enercon,85.0,92,131.0,2.35
E03,Energie 03,Champcourt,Énergie 03 (FRA),1030219,,2019-12-09,E103,,Enercon,98.0,103,149.5,2.35
E03,Energie 03,Champcourt,Énergie 03 (FRA),1030224,,2019-09-30,E103,,Enercon,98.0,103,149.5,2.35
E03,Energie 03,Champcourt,Énergie 03 (FRA),1030223,,2019-09-30,E103,,Enercon,98.0,103,149.5,2.35
E03,Energie 03,Champcourt,Énergie 03 (FRA),1030222,,2019-09-30,E103,,Enercon,98.0,103,149.5,2.35
E03,Energie 03,Champcourt,Énergie 03 (FRA),1030221,,2019-09-30,E103,,Enercon,98.0,103,149.5,2.35
E03,Energie 03,Champcourt,Énergie 03 (FRA),1030220,,2019-09-30,E103,,Enercon,98.0,103,149.5,2.35
E05,Energie 05 Sas,Pays De Mayenne,Énergie 05 (FRA),90840,,,N117,,Nordex,91.5,117,150.0,3.6
E06,Energie 06,Saisseval,Énergie 06 (FRA),826078,WTG 05,2015-07-03,E82,,Enercon,99.0,82,140.0,2.3
E06,Energie 06,Saisseval,Énergie 06 (FRA),826077,WTG 04,2015-07-03,E82,,Enercon,99.0,82,140.0,2.3
E06,Energie 06,Saisseval,Énergie 06 (FRA),826076,WTG 03,2015-07-03,E82,,Enercon,99.0,82,140.0,2.3
E06,Energie 06,Saisseval,Énergie 06 (FRA),826075,WTG 02,2015-07-03,E82,,Enercon,99.0,82,140.0,2.3
E06,Energie 06,Saisseval,Énergie 06 (FRA),826074,WTG 01,2015-07-03,E82,,Enercon,99.0,82,140.0,2.3
E05,Energie 05 Sas,Pays De Mayenne,Énergie 05 (FRA),90841,,,N117,,Nordex,91.5,117,150.0,3.6
E05,Energie 05 Sas,Pays De Mayenne,Énergie 05 (FRA),90842,,,N117,,Nordex,91.5,117,150.0,3.6
E08,Energie 08 Sas,Dechy,0,252084,WTG 01,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 Sas,Dechy,0,252085,WTG 02,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 Sas,Dechy,0,252086,WTG 03,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 Sas,Dechy,0,252097,WTG 04,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 Sas,Dechy,0,252088,WTG 05,,V100,,Vestas,95.0,100,145.0,2.0
E21,Eoliennes Chouy,Chouy (Wpd Energie 21 Se N°16),Éoliennes de Chouy (FRA),243674,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (Wpd Energie 21 Se N°16),Éoliennes de Chouy (FRA),243675,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (Wpd Energie 21 Se N°16),Éoliennes de Chouy (FRA),243676,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (Wpd Energie 21 Se N°16),Éoliennes de Chouy (FRA),243677,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (Wpd Energie 21 Se N°16),Éoliennes de Chouy (FRA),243678,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (Wpd Energie 21 Se N°16),Éoliennes de Chouy (FRA),243679,,,V100,,Vestas,100.0,100,150.0,2.0
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921437,WTG 05,,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921438,WTG 06,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921436,WTG 04,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921435,WTG 03,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921434,WTG 02,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921433,WTG 01,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826795,WTG 04,2017-02-21,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826797,WTG 06,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826796,WTG 05,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826794,WTG 03,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826793,WTG 02,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826792,WTG 01,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252052,,,V136,,Vestas,112.0,136,180.0,4.2
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252053,,,V136,,Vestas,112.0,136,180.0,4.2
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252054,,,V136,,Vestas,112.0,136,180.0,4.2
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247466,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247467,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247468,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247469,,,V136,,Vestas,112.0,136,180.0,3.0
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921454,WTG 17,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921279,WTG 27,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921278,WTG 26,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921277,WTG 25,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921276,WTG 23,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92810,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92811,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92812,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92813,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92814,,,N117,,Nordex,106.0,117,164.5,3.6
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224947,WTG 04,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224946,WTG 01,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224945,WTG 02,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224944,WTG 01,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232084,WTG 1,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232085,WTG 2,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235326,WTG 3,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235327,WTG 4,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232086,WTG 5,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232087,WTG 6,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235328,WTG 7,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235329,WTG 8,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235330,WTG 9,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235331,WTG 10,2020-07-29,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235332,WTG 11,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90340,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90341,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90342,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90343,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90344,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90345,,,N131,,Nordex,114.0,131,179.5,3.0
EDT,Energie Du Touvent,Mont Du Saule,Énergie du Touvent (FRA),921450,WTG 03,2017-12-22,E92,,Enercon,102.0,92,148.0,2.35
EDT,Energie Du Touvent,Mont Du Saule,Énergie du Touvent (FRA),921449,WTG 02,2017-12-22,E92,,Enercon,102.0,92,148.0,2.35
EDT,Energie Du Touvent,Mont Du Saule,Énergie du Touvent (FRA),921448,WTG 01,2017-12-22,E92,,Enercon,102.0,92,148.0,2.35
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248780,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248781,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248782,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248783,,,V136,,Vestas,112.0,136,180.0,2.85
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228229,WTG 15,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228228,WTG 14,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228227,WTG 12,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228226,WTG 11,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228225,WTG 10,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213509,WTG 06,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213508,WTG 05,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213507,WTG 03,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213506,WTG 02,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213505,WTG 01,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
